sentence,compound,positive,negative,neutral,label,title
The Sublime Ones.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter XXXVI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Land of Culture.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter XXXVII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Immaculate Perception.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter XXXVIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Scholars.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter XXXIX.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Poets.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter XL.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Great Events.,0.6249,0.804,0.0,0.196,positive,Thus Spake Zarathustra: A Book for All and None
Chapter XLI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Soothsayer.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter XLII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Redemption.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter XLIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Manly Prudence.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter XLIV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Stillest Hour.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
PART III.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter XLVI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Vision and the Enigma.,0.25,0.333,0.0,0.667,positive,Thus Spake Zarathustra: A Book for All and None
Chapter XLVII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Involuntary Bliss.,0.5719,0.787,0.0,0.213,positive,Thus Spake Zarathustra: A Book for All and None
Chapter XLVIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Before Sunrise.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
Chapter XLIX.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
The Bedwarfing Virtue.,0.4215,0.583,0.0,0.417,positive,Thus Spake Zarathustra: A Book for All and None
Chapter LI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
On Passing-by.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
